genre,url
"['Business', 'Careers', 'Education', 'Training', 'Health', 'Self-Help']",https://chartable.com/podcasts/the-life-coach-school-podcast-with-brooke-castillo
['TV & Film'],https://chartable.com/podcasts/eli-roths-history-of-horror-uncut
['Games & Hobbies'],https://chartable.com/podcasts/we-have-cool-friends
"['Health', 'Science & Medicine']",https://chartable.com/podcasts/tedtalks-health
"['News & Politics', 'Society & Culture']",https://chartable.com/podcasts/analysis-of-murder-by-dr-phil
"['Government & Organizations', 'News & Politics', 'Society & Culture', 'History']",https://chartable.com/podcasts/slow-burn-a-podcast-about-watergate
"['News & Politics', 'Society & Culture']",https://chartable.com/podcasts/code-switch
"['Society & Culture', 'History', 'Personal Journals']",https://chartable.com/podcasts/american-history-tellers
"['Business', 'Education', 'Health', 'Kids & Family', 'Science & Medicine', 'Society & Culture']",https://chartable.com/podcasts/life-kit-all-guides
"['Music', 'Society & Culture', 'TV & Film']",https://chartable.com/podcasts/nbcs-songland-podcast
['Society & Culture'],https://chartable.com/podcasts/the-dream
"['Technology', 'Tech News']",https://chartable.com/podcasts/apple-keynotes
"['Kids & Family', 'Science & Medicine']",https://chartable.com/podcasts/brains-on-science-podcast-for-kids
"['Society & Culture', 'History', 'Places & Travel']",https://chartable.com/podcasts/mobituaries-with-mo-rocca
"['Arts', 'Food', 'Health', 'Self-Help']",https://chartable.com/podcasts/goopfellas
"['Business', 'Careers', 'Education', 'Higher Education', 'Health', 'Self-Help']",https://chartable.com/podcasts/mwf-motivation-podcast
"['Society & Culture', 'History', 'TV & Film']",https://chartable.com/podcasts/ephemeral
"['Sports & Recreation', 'Professional']",https://chartable.com/podcasts/the-herd-with-colin-cowherd
"['Comedy', 'Health', 'Sexuality', 'Society & Culture']",https://chartable.com/podcasts/tigerbelly
"['Society & Culture', 'History']",https://chartable.com/podcasts/american-scandal
"['News & Politics', 'Society & Culture']",https://chartable.com/podcasts/murderville
"['Business', 'Investing', 'Society & Culture', 'Philosophy', 'Technology']",https://chartable.com/podcasts/navals-podcast
"['Government & Organizations', 'National', 'News & Politics']",https://chartable.com/podcasts/mueller-report-audio
['Comedy'],https://chartable.com/podcasts/jenna-julien-podcast
['Comedy'],https://chartable.com/podcasts/the-85-south-show-with-karlous-miller-dc-young-fly-and-clayton-english
['News & Politics'],https://chartable.com/podcasts/the-intelligence
